timestamp,latitude,longitude,stop_name
0,40.43801,-3.63857,
1,40.43792,-3.63878,
2,40.4377,-3.6386,
3,40.4376,-3.63881,
4,40.43745,-3.63912,
5,40.43729,-3.63945,
6,40.43719,-3.63966,
7,40.43706,-3.63992,
8,40.43691,-3.64021,
9,40.43642,-3.64125,
10,40.43637,-3.64138,
11,40.43622,-3.64165,
12,40.43588,-3.64238,
13,40.43569,-3.64276,
14,40.4355,-3.64316,
15,40.4354,-3.64335,
16,40.4352,-3.64378,
17,40.43509,-3.64402,
18,40.43502,-3.64416,
19,40.43485,-3.6445,
20,40.43475,-3.64473,
21,40.43465,-3.64492,
22,40.43441,-3.64543,
23,40.43434,-3.64558,
24,40.43408,-3.64611,
25,40.43399,-3.6463,
26,40.43369,-3.64692,
27,40.43355,-3.64721,
28,40.43335,-3.64766,
29,40.43322,-3.64797,
30,40.43313,-3.64822,
31,40.43312,-3.64826,
32,40.43311,-3.64831,
33,40.4331,-3.64836,
34,40.43306,-3.64859,
35,40.43305,-3.64865,
36,40.43277,-3.64858,
37,40.43231,-3.64843,
38,40.43214,-3.64837,
39,40.43203,-3.64834,
40,40.43177,-3.64826,
41,40.4316,-3.64822,
42,40.43124,-3.64814,
43,40.43089,-3.64807,
44,40.43071,-3.64803,
45,40.43054,-3.648,
46,40.43018,-3.64792,
47,40.42962,-3.64779,
48,40.42909,-3.64768,
49,40.42897,-3.64765,
50,40.42895,-3.64779,
51,40.42887,-3.64838,
52,40.42886,-3.64845,
53,40.42885,-3.64851,
54,40.42882,-3.64856,
55,40.42877,-3.64866,
56,40.42875,-3.64869,
57,40.42875,-3.6487,
58,40.4287,-3.64876,
59,40.42866,-3.64881,
60,40.42864,-3.64883,
61,40.42852,-3.64892,
62,40.42834,-3.64906,
63,40.42806,-3.64929,
64,40.42781,-3.64948,
65,40.42778,-3.64951,
66,40.42776,-3.64952,
67,40.42763,-3.64962,
68,40.42751,-3.64972,
69,40.42739,-3.64983,
70,40.42723,-3.65002,
71,40.42713,-3.65014,
72,40.42702,-3.65027,
73,40.42691,-3.6504,
74,40.42685,-3.65047,
75,40.42676,-3.65038,
76,40.4267,-3.65028,
77,40.42667,-3.65022,
78,40.42664,-3.65016,
79,40.42662,-3.65009,
80,40.42661,-3.65007,
81,40.4265,-3.64972,
82,40.42647,-3.64963,
83,40.42644,-3.64957,
84,40.42644,-3.64956,
85,40.4264,-3.64949,
86,40.42633,-3.64939,
87,40.42632,-3.64938,
88,40.42624,-3.64928,
89,40.42623,-3.64927,
90,40.42619,-3.64923,
91,40.42617,-3.64921,
92,40.42615,-3.64919,
93,40.42611,-3.64917,
94,40.42608,-3.64916,
95,40.42606,-3.64916,
96,40.42603,-3.64917,
97,40.42599,-3.64918,
98,40.42595,-3.64921,
99,40.42591,-3.64925,
100,40.42587,-3.64929,
101,40.42577,-3.64942,
102,40.42566,-3.64956,
103,40.42541,-3.6499,
104,40.42539,-3.64992,
105,40.42531,-3.65004,
106,40.42526,-3.65008,
107,40.42521,-3.65012,
108,40.42509,-3.65022,
109,40.42493,-3.65032,
110,40.42476,-3.65041,
111,40.42435,-3.65064,
112,40.42406,-3.6508,
113,40.42392,-3.65088,
114,40.42375,-3.65097,
115,40.42359,-3.65107,
116,40.42331,-3.65122,
117,40.4231,-3.65136,
118,40.42301,-3.6514,
119,40.4227,-3.65156,
120,40.42236,-3.6517,
121,40.42217,-3.65176,
122,40.42211,-3.65178,
123,40.42207,-3.65179,
124,40.42187,-3.65185,
125,40.42177,-3.65187,
126,40.42165,-3.65189,
127,40.42144,-3.65194,
128,40.42127,-3.65199,
129,40.42126,-3.65199,
130,40.42117,-3.65203,
131,40.42107,-3.65208,
132,40.421,-3.65214,
133,40.42093,-3.65219,
134,40.42088,-3.65224,
135,40.42087,-3.65226,
136,40.42081,-3.65233,
137,40.42077,-3.6524,
138,40.42076,-3.6524,
139,40.42073,-3.65246,
140,40.4207,-3.65252,
141,40.42068,-3.65256,
142,40.42064,-3.65267,
143,40.42055,-3.65295,
144,40.42046,-3.6529,
145,40.42018,-3.65274,
146,40.42014,-3.65271,
147,40.42005,-3.65266,
148,40.42,-3.65263,
149,40.41989,-3.65255,
150,40.41986,-3.65253,
151,40.41977,-3.65247,
152,40.41973,-3.65244,
153,40.41967,-3.6524,
154,40.41962,-3.65236,
155,40.41958,-3.65232,
156,40.41955,-3.65228,
157,40.41952,-3.65224,
158,40.41951,-3.65224,
159,40.4195,-3.65221,
160,40.41947,-3.65217,
161,40.41943,-3.65209,
